Liberal,Conservative,sentiment,Green,Libertarian,twitter_engagement,date,time
0.1339099705,0.3380242884,0.9638496041,0.2818870246,0.2461787909,0.6966453588,03-05-2015,20:28:44
0.3632487357,0.1753995568,0.5427446961,0.2148815691,0.246470198,0.6055813557,03-05-2015,20:25:32
0.172644347,0.1374450475,0.9586446881,0.559147656,0.1307629496,0.5884720751,03-05-2015,13:17:02
0.1973282695,0.2064176947,0.7068065405,0.3808937669,0.2153602242,0.6603056197,03-05-2015,13:15:25
0.1827200949,0.119983308,0.8726069331,0.658467114,0.0388295427,0.6430769713,03-05-2015,13:12:26
0.1385610402,0.4355182648,0.6950782537,0.0438866913,0.3820340037,0.6502220014,03-05-2015,13:11:08
0.1959727407,0.2105929404,0.8344686031,0.3838772178,0.2095570862,0.6020101343,03-05-2015,12:04:03
0.1828284413,0.0678245202,0.50988096,0.6908861995,0.0584608503,0.6512591263,03-05-2015,11:52:20
0.2015215755,0.2337177098,0.6250056028,0.3352303207,0.2295304239,0.6572076382,03-05-2015,03:02:30
0.1903874427,0.2864648104,0.7337352037,0.2377669513,0.2853806913,0.6251763859,03-05-2015,03:00:29
0.2580713332,0.193486914,0.4143683016,0.3525345623,0.1959071606,0.6160854075,03-05-2015,02:59:46
0.2215823233,0.2560427487,0.8121418357,0.3956883252,0.1266865283,0.7069520652,03-04-2015,12:09:56
0.2107000053,0.1818939596,0.7784016728,0.4106159508,0.1967900544,0.6079279712,03-04-2015,12:03:32
0.2062574327,0.2459831983,0.3715677857,0.2734669745,0.2742923796,0.6925073886,03-04-2015,05:08:04
0.2388566881,0.0625047535,0.836817801,0.6517228484,0.0469157845,0.6656261462,03-03-2015,20:31:47
0.0838706717,0.1328427196,0.6418264508,0.6043290496,0.1789575666,0.5394665911,03-03-2015,20:15:22
0.1691023409,0.1828541309,0.8908299804,0.3994577527,0.24858585,0.5153756556,03-03-2015,19:16:20
0.2120764256,0.2315547615,0.9363685846,0.329010576,0.2273582518,0.5713221587,03-03-2015,15:51:54
0.1834904104,0.1699552834,0.9172647595,0.4209584892,0.2255957872,0.4795424157,03-03-2015,15:46:22
0.2274642438,0.156814754,0.9279659986,0.3862336874,0.2294872403,0.5096071723,03-03-2015,15:45:54
0.1714283675,0.2146296352,0.6536253691,0.3035529256,0.3103891313,0.5710612889,03-02-2015,19:49:23
0.2122657597,0.1037665755,0.5957907438,0.5233890414,0.1605786383,0.4965262417,03-02-2015,19:48:27
0.1620489359,0.1124258414,0.8185248375,0.2692982256,0.4562270343,0.5964650265,03-02-2015,19:48:16
0.2034775764,0.2323299944,0.3863797486,0.3568563461,0.2073360384,0.564185593,03-02-2015,16:30:47
0.1884905696,0.1729493439,0.4441587031,0.3686718047,0.2698883116,0.5682549244,03-02-2015,15:32:27
0.185019806,0.1845748127,0.1698521972,0.4165689051,0.2138364613,0.5024222881,03-02-2015,03:49:18
0.2105010897,0.188800171,0.3923251629,0.3729168177,0.2277819365,0.5580548295,03-02-2015,00:44:31
0.2380395979,0.2185011506,0.3110702634,0.1794172674,0.3640419245,0.6222109824,03-01-2015,18:26:07
0.1824632287,0.2174308002,0.4621902108,0.4069274366,0.1931785643,0.4517132648,03-01-2015,17:40:34
0.2976714075,0.1281061769,0.549823463,0.2867660224,0.2874563038,0.6733245419,03-01-2015,17:13:04
0.1197868064,0.2102130055,0.374543786,0.413772881,0.2562273741,0.5607044107,02-28-2015,23:47:45
0.1969068497,0.1751380563,0.276569128,0.4084034264,0.2195516825,0.5005020547,02-28-2015,20:12:47
0.1828620285,0.1853438616,0.1547639072,0.4263435602,0.2054506391,0.559196846,02-28-2015,19:08:32
0.1832387596,0.1862529218,0.1343775243,0.4236052036,0.2069031,0.5050950969,02-28-2015,18:30:49
0.1844834685,0.1835828274,0.1762439013,0.4187471569,0.2131865025,0.5282399273,02-28-2015,13:16:01
0.1645468771,0.2046124488,0.2658132017,0.4511451423,0.1796955615,0.470684957,02-27-2015,23:03:20
0.2083624899,0.176858753,0.3639639616,0.397839874,0.2169388831,0.5074026371,02-27-2015,22:27:41
0.1870356649,0.186317116,0.3360309899,0.434377104,0.192270115,0.3316559778,02-27-2015,20:28:51
0.191092059,0.1829553694,0.433914572,0.448233515,0.1777189672,0.5340465587,02-26-2015,21:41:23
0.239328593,0.1877129078,0.558815062,0.2726089954,0.3003495038,0.5180320222,02-26-2015,13:10:26
0.1831182539,0.1878268719,0.1784313619,0.4402057528,0.1888491511,0.599690081,02-25-2015,23:07:44
0.2913717926,0.289164573,0.2502037585,0.3158562779,0.1036073044,0.6224250367,02-25-2015,21:29:25
0.1528670341,0.1102963686,0.3854899704,0.5607517362,0.176084891,0.5530917024,02-25-2015,16:38:07
0.2625656128,0.2786606848,0.8536576033,0.1598491222,0.2989245355,0.5550929017,02-25-2015,15:30:57
0.1794086695,0.2420326918,0.6851902008,0.2668475807,0.3117111027,0.6548905392,02-25-2015,12:47:28
0.0840079039,0.1042405143,0.8359159231,0.6932300329,0.1185215786,0.6684640116,02-25-2015,04:04:19
0.1825137436,0.1913960278,0.3656941354,0.4213316441,0.2047585696,0.4634813127,02-25-2015,03:22:55
0.1330186874,0.1332988739,0.2724911273,0.5744483471,0.1592340767,0.6258569201,02-25-2015,02:18:37
0.1823821068,0.2477922142,0.1429535151,0.0649351105,0.5048905611,0.5943573843,02-25-2015,00:47:50
0.1638346761,0.1679605097,0.5211142898,0.4963821471,0.171822682,0.4798358658,02-24-2015,20:11:21
0.1681974679,0.1710911691,0.325350523,0.5027811527,0.1579302251,0.4862361315,02-24-2015,19:39:59
0.1886389405,0.2869702578,0.0897197425,0.1868724525,0.3375183046,0.483731394,02-24-2015,16:26:49
0.1298235059,0.2740855515,0.5769047141,0.1095555052,0.4865354002,0.5226319785,02-24-2015,16:25:01
0.1219362542,0.0718927234,0.7936695814,0.5171998739,0.2889710367,0.5471032914,02-24-2015,15:33:34
0.2540690005,0.2213296145,0.34985286,0.2161255181,0.3084758818,0.492456175,02-24-2015,15:26:18
0.3274227083,0.3322156072,0.0338163562,0.0953879878,0.2449736893,0.6247212627,02-24-2015,15:09:00
0.2006402612,0.2089903802,0.1257826835,0.2303781807,0.3599912524,0.5090130816,02-24-2015,14:54:10
0.2271215767,0.1963698268,0.4998883605,0.2627056539,0.3138029873,0.5850917127,02-24-2015,14:53:42
0.2480202615,0.2685237527,0.2302702218,0.2028050274,0.2806510031,0.6068257317,02-23-2015,23:35:53
0.2591825724,0.3175925016,0.521009028,0.1303676665,0.2928572297,0.4873378306,02-23-2015,20:29:40
